gene	mean_log2_cpm_control	mean_log2_cpm_covid19	log2_cpm_difference	p_value	fdr_bh
C18orf32	2.5116341212376625	4.2432705701874065	1.731636448949744	4.7698434833930686e-05	0.00625007295605923
YWHAB	5.347322373933414	6.498602338904487	1.1512799649710725	4.8000238848505706e-05	0.00625007295605923
MTA2	2.6383632796925705	3.864276939291068	1.2259136595984974	4.912104505218114e-05	0.00625007295605923
TAOK1	7.788148850092388	8.304640224349676	0.5164913742572876	4.918911424810867e-05	0.00625007295605923
TMEM163	8.739483025822947	6.126025465354879	-2.613457560468068	4.9221627215871785e-05	0.00625007295605923
ATP5F1E	2.4553638468005237	5.921752818552771	3.4663889717522474	4.9232836887625333e-05	0.00625007295605923
TMEM8B	3.455236461990566	2.380640564456871	-1.0745958975336949	4.932273550071669e-05	0.00625007295605923
PRDX1	2.787458149682083	5.448728889147836	2.661270739465753	4.966970795507821e-05	0.00625007295605923
SPRY4-AS1	6.4245288943566035	4.125691565361082	-2.2988373289955213	4.996817520465676e-05	0.00625007295605923
TIMM10B	2.615001164617349	3.614452725580937	0.9994515609635881	5.000005379563029e-05	0.00625007295605923
AC008906.1	2.9323867483495754	1.6782413803947718	-1.2541453679548036	5.0069574326364595e-05	0.00625007295605923
FKBP8	3.104723218379317	5.108218230435252	2.003495012055935	5.030413316057421e-05	0.00625007295605923
TMEM72-AS1	4.687139825018863	3.4023218526395733	-1.2848179723792899	5.0819498271653554e-05	0.006278229266594109
ARMCX4	6.811489999969775	5.55750699972224	-1.2539830002475352	5.183921895078515e-05	0.006344867162544433
AC019130.1	5.067829560447665	3.5326008740646606	-1.5352286863830042	5.194252655718664e-05	0.006344867162544433
PCBP1	2.5526311381240694	6.103521811350899	3.5508906732268297	5.3125125050380726e-05	0.006453070357376693
HOXB2	1.286454702965442	2.801369551770762	1.5149148488053201	5.407602118337257e-05	0.006494109661418756
GID8	3.5397819168940576	4.927858832600981	1.388076915706923	5.414773179908893e-05	0.006494109661418756
CNEP1R1	3.176152070189886	4.35707005328239	1.1809179830925043	5.486221247527705e-05	0.006494109661418756
RPL6	2.97899224795515	6.362949769869935	3.3839575219147853	5.492662913381758e-05	0.006494109661418756
RXRA	5.338972040959002	6.204148716558714	0.8651766755997121	5.49766574061148e-05	0.006494109661418756
SEC61G	2.0042862220348097	4.409469807679262	2.405183585644452	5.525503782194131e-05	0.006494109661418756
NDUFB8	4.163973698740966	5.197507564705062	1.0335338659640962	5.634077144485947e-05	0.006528806454909204
ZMIZ1	7.182906205271631	8.051579640608816	0.8686734353371852	5.69460283645872e-05	0.006528806454909204
RAB1A	7.9429448277028865	8.80443124646487	0.8614864187619844	5.716174289919597e-05	0.006528806454909204
FGF1	4.5798802080858385	2.117381286646028	-2.4624989214398103	5.729046313489621e-05	0.006528806454909204
PRMT1	3.0579743710199674	4.151178794250641	1.0932044232306737	5.7299429112976e-05	0.006528806454909204
STT3B	7.218403580453966	7.950739857292824	0.7323362768388577	5.73518848773241e-05	0.006528806454909204
DLGAP1-AS5	3.638965309906769	0.9977360321024568	-2.641229277804312	5.775520526285396e-05	0.006540476187657467
APOBEC2	2.598598665591812	1.380508804296145	-1.2180898612956668	5.837902454595962e-05	0.006576865962190674
ADAMTSL4-AS1	7.82089275822832	4.837121584158632	-2.9837711740696875	6.059787805533173e-05	0.006646883968947662
AGBL3	5.442136058085255	3.523398125069871	-1.9187379330153842	6.078509647329729e-05	0.006646883968947662
AL136979.1	2.575662737299623	0.8543693325205322	-1.7212934047790909	6.080082245911425e-05	0.006646883968947662
PRKACA	4.060351273608046	4.997303076427959	0.9369518028199124	6.080741089250205e-05	0.006646883968947662
RNF212B	2.781055655436392	1.6719730454677226	-1.1090826099686695	6.13198171681941e-05	0.006646883968947662
SLC26A9	5.710595483518576	1.9688998669207454	-3.7416956165978306	6.132324188949678e-05	0.006646883968947662
RNASEK	3.598847417168932	5.227515629157834	1.6286682119889018	6.178619208602269e-05	0.006646883968947662
KHSRP	3.939054664953321	5.271336780326222	1.3322821153729012	6.181211743848606e-05	0.006646883968947662
USP16	6.503626402268178	5.836127332084806	-0.6674990701833714	6.297032237402255e-05	0.006646883968947662
DONSON	0.6981362411892137	5.483856857451947	4.785720616262734	6.344467209905726e-05	0.006646883968947662
ATP5MC3	2.4343877823377844	4.9000794515211	2.465691669183316	6.350412271107913e-05	0.006646883968947662
LMO7-AS1	4.0749744280938645	3.0117657036113012	-1.0632087244825632	6.359898762634626e-05	0.006646883968947662
HEATR3	4.657108913470613	5.760370841606382	1.103261928135769	6.393852270179612e-05	0.006646883968947662
RPL37	3.429199109812074	6.196906972907814	2.76770786309574	6.398058273333296e-05	0.006646883968947662
HSP90AA1	6.443150452549154	10.405095348195857	3.9619448956467034	6.42919575093269e-05	0.006646883968947662
HNRNPH2	2.4722706080067716	4.315126185738863	1.8428555777320912	6.432712392415399e-05	0.006646883968947662
AC007679.1	1.7865414696536668	0.567656599245638	-1.2188848704080288	6.485954037724794e-05	0.006646883968947662
AC092666.1	4.337833933073701	2.2578296387393393	-2.0800042943343615	6.504862516907118e-05	0.006646883968947662
VPS26A	5.820802995923087	6.4850217933917556	0.6642187974686689	6.543397783533951e-05	0.006646883968947662
PTP4A2	6.374149006691428	7.485780392347544	1.111631385656116	6.55203095390191e-05	0.006646883968947662
USP40	7.04551315278263	6.4935221060063055	-0.5519910467763243	6.567566097852362e-05	0.006646883968947662
AC096741.1	5.4409162498973105	2.7951563554186305	-2.64575989447868	6.572598322787782e-05	0.006646883968947662
AC073332.1	6.761762437777114	4.854108956090806	-1.9076534816863084	6.640163178803674e-05	0.006684123518367051
DNAJC7	6.178359108153727	6.636455085922202	0.4580959777684743	6.674142687813899e-05	0.0066873679475178615
AC068481.1	3.0122306873618823	1.6361576500266815	-1.3760730373352008	6.71461391030921e-05	0.006697057351002439
GNA13	6.411225648334048	7.855123434283207	1.4438977859491589	6.895559868000702e-05	0.00680499783709728
ALDH9A1	3.5255585560414917	4.5277371046285175	1.0021785485870258	6.901523942797318e-05	0.00680499783709728
AC000061.1	3.9663318123013482	1.5515284788869703	-2.414803333414378	6.916729623320143e-05	0.00680499783709728
C1orf105	1.884893123951009	0.7249089958926187	-1.1599841280583902	6.963693199724791e-05	0.0068157855502792575
